COMPOUND,YEAR,STATE_CODE,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,COUNTY,STATE
"2,4-D",2014,08,021,0.0,1122.9,Prabumulih,Sumatera Selatan
"2,4-D",2014,08,025,761.2,1302.9,Musi Banyuasin,Sumatera Selatan
"2,4-D",2014,08,027,64.0,254.5,Ogan Komering Ilir,Sumatera Selatan
"2,4-D",2014,08,047,,0.2,Palembang,Sumatera Selatan
"2,4-D",2014,08,053,2.7,2.7,Banyuasin,Sumatera Selatan
"2,4-D",2014,08,061,45921.0,45971.7,Lubuklinggau,Sumatera Selatan
"2,4-D",2014,08,093,1.2,8.7,Empat Lawang,Sumatera Selatan
"2,4-D",2014,09,001,35.9,36.2,Kaur,Bengkulu
"2,4-D",2014,09,003,86.5,88.8,Bengkulu Tengah,Bengkulu
"2,4-D",2014,09,007,34.9,35.9,Mukomuko,Bengkulu
"2,4-D",2014,09,011,100.5,100.9,Kepahiang,Bengkulu
"2,4-D",2014,10,001,4879.7,7441.2,Way Kanan,Lampung
"2,4-D",2014,10,003,1782.0,1782.0,Lampung Timur,Lampung
"2,4-D",2014,10,005,11773.9,19504.7,Bandar Lampung,Lampung
"2,4-D",2014,12,001,3699.5,3980.3,Bangka Tengah,Kepulauan Bangka Belitung
"2,4-D",2014,12,003,894.7,894.7,Bangka Selatan,Kepulauan Bangka Belitung
"2,4-D",2014,12,005,179.4,179.4,Bangka Barat,Kepulauan Bangka Belitung
"2,4-D",2014,12,007,618.7,654.4,Belitung,Kepulauan Bangka Belitung
"2,4-D",2014,12,017,971.6,972.7,Belitung Timur,Kepulauan Bangka Belitung
"2,4-D",2014,12,019,1135.7,1172.7,Kota Pangkal Pinang,Kepulauan Bangka Belitung
"2,4-D",2014,12,027,7617.5,7618.2,Bangka,Kepulauan Bangka Belitung
"2,4-D",2014,13,001,2510.3,3243.9,Natuna,Kepulauan Riau
"2,4-D",2014,13,003,3140.6,3307.0,Kepulauan Anambas,Kepulauan Riau
"2,4-D",2014,13,007,429.1,1223.7,Tanjung Pinang,Kepulauan Riau
"2,4-D",2014,13,011,4018.2,4062.3,Lingga,Kepulauan Riau
"2,4-D",2014,13,021,660.4,756.9,Karimun,Kepulauan Riau
"2,4-D",2014,13,027,6783.6,7657.5,Bintan,Kepulauan Riau
"2,4-D",2014,13,037,276.7,1643.1,Batam,Kepulauan Riau
"2,4-D",2014,16,001,628.7,904.3,Karawang,Jawa Barat
"2,4-D",2014,16,003,38.1,71.5,Cimahi,Jawa Barat
"2,4-D",2014,16,005,2847.1,2847.6,Tasikmalaya,Jawa Barat
"2,4-D",2014,16,007,1107.1,1107.1,Bandung,Jawa Barat
"2,4-D",2014,16,011,9344.9,9345.4,Garut,Jawa Barat
"2,4-D",2014,16,013,820.6,852.5,Subang,Jawa Barat
"2,4-D",2014,16,015,6.8,12.2,Bogor,Jawa Barat
"2,4-D",2014,16,017,12.4,37.6,Pangandaran,Jawa Barat
"2,4-D",2014,16,019,7672.0,7672.2,Kuningan,Jawa Barat
"2,4-D",2014,16,023,1110.7,1110.7,Cirebon,Jawa Barat
"2,4-D",2014,16,027,3113.8,4023.6,Majalengka,Jawa Barat
"2,4-D",2014,16,037,367.2,367.4,Bekasi,Jawa Barat
"2,4-D",2014,16,055,276.2,364.8,Sukabumi,Jawa Barat
"2,4-D",2014,16,067,4180.6,4377.2,Depok,Jawa Barat
"2,4-D",2014,17,001,8185.9,9273.3,Banyumas,Jawa Tengah
"2,4-D",2014,17,003,4684.2,4832.4,Pemalang,Jawa Tengah
"2,4-D",2014,17,005,3973.9,4196.3,Demak,Jawa Tengah
"2,4-D",2014,17,007,1769.0,2061.5,Tegal,Jawa Tengah
"2,4-D",2014,17,011,6016.6,6032.7,Pekalongan,Jawa Tengah
"2,4-D",2014,17,015,2727.0,2737.1,Cilacap,Jawa Tengah
"2,4-D",2014,17,019,17995.3,18681.1,Karanganyar,Jawa Tengah
"2,4-D",2014,17,027,17378.9,18407.9,Magelang,Jawa Tengah
"2,4-D",2014,17,029,11734.5,11883.0,Semarang,Jawa Tengah
"2,4-D",2014,17,031,111.5,155.4,Blora,Jawa Tengah
"2,4-D",2014,17,035,7108.5,7205.1,Sukoharjo,Jawa Tengah
"2,4-D",2014,17,037,5243.7,5638.7,Klaten,Jawa Tengah
"2,4-D",2014,17,039,19669.9,19673.1,Rembang,Jawa Tengah
"2,4-D",2014,17,043,62.5,92.4,Grobogan,Jawa Tengah
"2,4-D",2014,17,049,9343.7,9699.2,Sragen,Jawa Tengah
"2,4-D",2014,17,053,9340.8,9654.0,Kebumen,Jawa Tengah
"2,4-D",2014,17,075,20274.2,20969.9,Salatiga,Jawa Tengah
"2,4-D",2014,17,091,9847.1,10513.0,Kudus,Jawa Tengah
"2,4-D",2014,17,093,2134.3,2266.8,Wonogiri,Jawa Tengah
"2,4-D",2014,17,117,9202.0,9304.5,Surakarta (Solo),Jawa Tengah
"2,4-D",2014,17,159,8291.0,8368.1,Pati,Jawa Tengah
"2,4-D",2014,18,001,9117.1,9112.2,Yogyakarta,DI Yogyakarta
"2,4-D",2014,18,003,12854.3,12860.7,Kulon Progo,DI Yogyakarta
"2,4-D",2014,18,005,11206.0,12007.4,Bantul,DI Yogyakarta
"2,4-D",2014,18,007,50367.1,50505.0,Gunung Kidul,DI Yogyakarta
"2,4-D",2014,18,037,4502.0,4506.8,Sleman,DI Yogyakarta
"2,4-D",2014,19,001,18541.2,18541.3,Trenggalek,Jawa Timur
"2,4-D",2014,19,005,2909.0,2933.0,Bangkalan,Jawa Timur
"2,4-D",2014,19,007,4139.7,4139.7,Banyuwangi,Jawa Timur
"2,4-D",2014,19,009,6655.9,6658.8,Tulungagung,Jawa Timur
"2,4-D",2014,19,011,8200.6,8205.1,Mojokerto,Jawa Timur
"2,4-D",2014,19,015,8840.0,8838.5,Jember,Jawa Timur
"2,4-D",2014,19,017,1483.8,1484.1,Probolinggo,Jawa Timur
"2,4-D",2014,19,021,5719.1,5725.5,Kediri,Jawa Timur
"2,4-D",2014,19,023,3684.5,3683.7,Sumenep,Jawa Timur
"2,4-D",2014,19,025,9422.0,9422.1,Pasuruan,Jawa Timur
"2,4-D",2014,19,027,9602.6,9606.4,Pamekasan,Jawa Timur
"2,4-D",2014,19,031,6170.6,6168.4,Bondowoso,Jawa Timur
"2,4-D",2014,19,039,3874.5,3874.5,Sidoarjo,Jawa Timur
"2,4-D",2014,19,047,12291.0,12291.1,Malang,Jawa Timur
"2,4-D",2014,19,055,2101.7,2106.0,Surabaya,Jawa Timur
"2,4-D",2014,19,071,18632.0,18632.0,Situsbondowoso,Jawa Timur
"2,4-D",2014,19,077,8004.6,8007.4,Lumajang,Jawa Timur
"2,4-D",2014,19,105,4720.8,4720.8,Blitar,Jawa Timur
"2,4-D",2014,20,001,2942.1,2987.3,Serang,Banten
"2,4-D",2014,20,003,7786.2,7947.4,Lebak,Banten
"2,4-D",2014,20,005,17518.1,17518.1,Pandeglang,Banten
"2,4-D",2014,20,015,6587.4,6615.2,Cilegon,Banten
"2,4-D",2014,20,017,2486.7,2497.9,Tangerang Selatan,Banten
"2,4-D",2014,20,039,19772.6,20136.2,Tangerang,Banten
"2,4-D",2014,21,001,4628.5,4628.5,Tabanan,Bali
"2,4-D",2014,21,003,4393.1,4393.1,Gianyar,Bali
"2,4-D",2014,21,009,8499.1,8498.0,Bangli,Bali
"2,4-D",2014,21,013,19.9,20.9,Badung,Bali
"2,4-D",2014,21,015,233.3,622.1,Denpasar,Bali
"2,4-D",2014,21,017,669.4,1546.8,Buleleng,Bali
"2,4-D",2014,21,023,383.8,556.1,Klungkung,Bali
"2,4-D",2014,21,033,4783.2,4799.5,Karangasem,Bali
"2,4-D",2014,22,001,15735.0,15869.5,Dompu,Nusa Tenggara Barat
"2,4-D",2014,22,003,3801.0,3801.0,Sumbawa Barat,Nusa Tenggara Barat
"2,4-D",2014,22,005,3203.3,3206.0,Bima,Nusa Tenggara Barat
"2,4-D",2014,22,007,8469.9,8890.1,Sumbawa,Nusa Tenggara Barat
"2,4-D",2014,22,009,19060.0,19060.0,Lombok Barat,Nusa Tenggara Barat
"2,4-D",2014,22,017,15580.9,29016.4,Lombok Tengah,Nusa Tenggara Barat
"2,4-D",2014,22,019,9115.8,9166.8,Mataram,Nusa Tenggara Barat
"2,4-D",2014,22,023,6986.5,6986.5,Lombok Timur,Nusa Tenggara Barat
"2,4-D",2014,23,001,159.7,142.5,Rote Ndao,Nusa Tenggara Timur
"2,4-D",2014,23,003,360.3,311.2,Alor,Nusa Tenggara Timur
"2,4-D",2014,23,005,49.5,45.2,Manggarai,Nusa Tenggara Timur
"2,4-D",2014,23,007,19.2,17.5,Kupang,Nusa Tenggara Timur
"2,4-D",2014,23,009,19.6,19.5,Manggarai Barat,Nusa Tenggara Timur
"2,4-D",2014,23,011,265.5,226.8,Timor Tengah Selatan,Nusa Tenggara Timur
"2,4-D",2014,23,013,10.5,10.5,Belu,Nusa Tenggara Timur
"2,4-D",2014,23,017,104.0,97.7,Timor Tengah Utara,Nusa Tenggara Timur
"2,4-D",2014,23,019,368.6,295.8,Sikka,Nusa Tenggara Timur
"2,4-D",2014,23,021,58.6,45.8,Flores Timur,Nusa Tenggara Timur
"2,4-D",2014,24,001,34.3,202.8,Ketapang,Kalimantan Barat
"2,4-D",2014,24,003,176.2,610.0,Landak,Kalimantan Barat
"2,4-D",2014,24,005,5326.6,5326.6,Sanggau,Kalimantan Barat
"2,4-D",2014,24,009,535.7,887.8,Kubu Raya,Kalimantan Barat
"2,4-D",2014,24,013,9554.5,9554.5,Sambas,Kalimantan Barat
"2,4-D",2014,24,015,958.5,2424.2,Melawi,Kalimantan Barat
"2,4-D",2014,24,019,11448.8,15565.9,Pontianak,Kalimantan Barat
"2,4-D",2014,24,023,99.2,837.5,Sintang,Kalimantan Barat
"2,4-D",2014,24,029,2490.8,5047.4,Mempawah,Kalimantan Barat
"2,4-D",2014,24,031,3835.2,3835.2,Singkawang,Kalimantan Barat
"2,4-D",2014,24,039,4724.6,7669.7,Kapuas Hulu,Kalimantan Barat
"2,4-D",2014,25,001,5.9,6.0,Barito Utara,Kalimantan Tengah
"2,4-D",2014,25,003,101.7,101.8,Seruyan,Kalimantan Tengah
"2,4-D",2014,25,005,42.2,42.7,Barito Selatan,Kalimantan Tengah
"2,4-D",2014,25,007,30.1,30.1,Pulang Pisau,Kalimantan Tengah
"2,4-D",2014,25,009,36.9,37.3,Lamandau,Kalimantan Tengah
"2,4-D",2014,25,011,123.8,124.7,Kapuas,Kalimantan Tengah
"2,4-D",2014,25,023,34.0,34.1,Katingan,Kalimantan Tengah
"2,4-D",2014,25,027,127.0,130.2,Palangka Raya,Kalimantan Tengah
"2,4-D",2014,26,001,33.4,359.3,Hulu Sungai Selatan,Kalimantan Selatan
"2,4-D",2014,26,003,72.5,100.7,Tanah Laut,Kalimantan Selatan
"2,4-D",2014,26,005,944.4,1382.3,Hulu Sungai Utara,Kalimantan Selatan
"2,4-D",2014,26,009,3157.8,3207.4,Hulu Sungai Tengah,Kalimantan Selatan
"2,4-D",2014,26,015,2341.3,2444.7,Kotabaru,Kalimantan Selatan
"2,4-D",2014,26,017,476.7,1716.4,Tapin,Kalimantan Selatan
"2,4-D",2014,26,027,1104.0,1323.1,Banjarbaru,Kalimantan Selatan
"2,4-D",2014,26,031,31.9,399.0,Tanah Bumbu,Kalimantan Selatan
"2,4-D",2014,26,037,5021.0,5157.4,Banjarmasin,Kalimantan Selatan
"2,4-D",2014,26,069,34.9,339.6,Barito Kuala,Kalimantan Selatan
"2,4-D",2014,27,001,141.2,306.5,Kutai Barat,Kalimantan Timur
"2,4-D",2014,27,003,45.2,191.6,Samarinda,Kalimantan Timur
"2,4-D",2014,27,005,1133.5,2080.7,Kutai Timur,Kalimantan Timur
"2,4-D",2014,27,009,121.5,545.5,Mahakam Ulu,Kalimantan Timur
"2,4-D",2014,27,011,1023.5,1543.4,Bontang,Kalimantan Timur
"2,4-D",2014,27,013,1338.8,1444.7,Paser,Kalimantan Timur
"2,4-D",2014,27,015,1114.1,1177.2,Penajam Paser Utara,Kalimantan Timur
"2,4-D",2014,27,017,168.1,228.8,Kutai Kartanegara,Kalimantan Timur
"2,4-D",2014,27,033,1205.8,2186.8,Balikpapan,Kalimantan Timur
"2,4-D",2014,28,001,807.5,1066.1,Tana Tidung,Kalimantan Utara
"2,4-D",2014,28,003,2868.4,3570.9,Tanjung Selor,Kalimantan Utara
"2,4-D",2014,28,005,688.1,688.1,Nunukan,Kalimantan Utara
"2,4-D",2014,28,007,5310.3,5310.3,Malinau,Kalimantan Utara
"2,4-D",2014,28,015,10931.9,10932.3,Bulungan,Kalimantan Utara
"2,4-D",2014,29,001,2428.8,2457.1,Bitung,Sulawesi Utara
"2,4-D",2014,29,003,13149.4,13268.0,Tomohon,Sulawesi Utara
"2,4-D",2014,29,009,12561.3,12713.5,Kepulauan Siau Tagulandang Biaro,Sulawesi Utara
"2,4-D",2014,29,011,7694.1,9642.1,Minahasa,Sulawesi Utara
"2,4-D",2014,29,013,12511.7,12987.0,Kepulauan Talaud,Sulawesi Utara
"2,4-D",2014,29,017,5322.3,6199.2,Kepulauan Sangihe,Sulawesi Utara
"2,4-D",2014,29,019,5119.3,5120.9,Bolaang Mongondow Selatan,Sulawesi Utara
"2,4-D",2014,29,023,3822.0,3892.8,Minahasa Utara,Sulawesi Utara
"2,4-D",2014,29,031,3052.2,3092.4,Manado,Sulawesi Utara
"2,4-D",2014,29,035,1858.7,1859.5,Bolaang Mongondow,Sulawesi Utara
"2,4-D",2014,29,065,7080.0,7087.9,Bolaang Mongondow Timur,Sulawesi Utara
"2,4-D",2014,29,095,3349.0,3390.3,Minahasa Selatan,Sulawesi Utara
"2,4-D",2014,30,001,892.3,1556.9,Morowali,Sulawesi Tengah
"2,4-D",2014,30,005,24274.0,24593.7,Parigi Moutong,Sulawesi Tengah
"2,4-D",2014,30,007,6677.9,6697.2,Buol,Sulawesi Tengah
"2,4-D",2014,30,009,1870.8,1934.2,Palu,Sulawesi Tengah
"2,4-D",2014,30,013,29160.9,29186.0,Tojo Una-Una,Sulawesi Tengah
"2,4-D",2014,30,019,16467.2,16502.4,Toli-Toli,Sulawesi Tengah
"2,4-D",2014,30,023,150.0,152.4,Donggala,Sulawesi Tengah
"2,4-D",2014,30,027,30299.2,30323.5,Sigi,Sulawesi Tengah
"2,4-D",2014,30,039,230.7,293.2,Banggai Kepulauan,Sulawesi Tengah
"2,4-D",2014,30,061,17.6,31.8,Poso,Sulawesi Tengah
"2,4-D",2014,30,073,21892.7,22051.8,Banggai,Sulawesi Tengah
"2,4-D",2014,31,001,8796.0,8796.0,Luwu Utara,Sulawesi Selatan
"2,4-D",2014,31,003,25855.5,26076.1,Makassar,Sulawesi Selatan
"2,4-D",2014,31,007,15556.0,15579.4,Bone,Sulawesi Selatan
"2,4-D",2014,31,011,23090.0,23404.0,Sidenreng Rappang,Sulawesi Selatan
"2,4-D",2014,31,015,453.1,1476.9,Barru,Sulawesi Selatan
"2,4-D",2014,31,017,443.0,993.6,Pinrang,Sulawesi Selatan
"2,4-D",2014,31,021,19162.2,19190.0,Enrekang,Sulawesi Selatan
"2,4-D",2014,31,023,17289.2,17300.6,Takalar,Sulawesi Selatan
"2,4-D",2014,31,025,16954.6,16962.2,Bulukumba,Sulawesi Selatan
"2,4-D",2014,31,027,25821.4,25940.1,Parepare,Sulawesi Selatan
"2,4-D",2014,31,029,18358.4,18421.5,Pangkep,Sulawesi Selatan
"2,4-D",2014,31,031,782.6,955.4,Luwu Timur,Sulawesi Selatan
"2,4-D",2014,31,039,24111.9,24154.6,Jeneponto,Sulawesi Selatan
"2,4-D",2014,31,043,8954.1,8968.0,Palopo,Sulawesi Selatan
"2,4-D",2014,31,047,2075.4,7603.2,Maros,Sulawesi Selatan
"2,4-D",2014,31,049,20862.4,20873.9,Gowa,Sulawesi Selatan
"2,4-D",2014,31,069,10483.0,10535.9,Luwu,Sulawesi Selatan
"2,4-D",2014,31,091,10.3,14.5,Toraja Utara,Sulawesi Selatan
"2,4-D",2014,31,145,15292.4,15292.4,Tana Toraja,Sulawesi Selatan
"2,4-D",2014,31,177,11911.8,11911.8,Sinjai,Sulawesi Selatan
"2,4-D",2014,32,001,127.0,196.9,Wakatobi,Sulawesi Tenggara
"2,4-D",2014,32,003,16.1,16.1,Kolaka Utara,Sulawesi Tenggara
"2,4-D",2014,32,005,18.5,46.5,Muna,Sulawesi Tenggara
"2,4-D",2014,32,013,934.1,1143.6,Baubau,Sulawesi Tenggara
"2,4-D",2014,32,015,154.4,233.6,Konawe,Sulawesi Tenggara
"2,4-D",2014,32,019,296.6,422.3,Buton,Sulawesi Tenggara
"2,4-D",2014,32,027,413.2,525.0,Kendari,Sulawesi Tenggara
"2,4-D",2014,33,001,37.7,35.3,Gorontalo,Gorontalo
"2,4-D",2014,33,003,33.7,31.2,Pohuwato,Gorontalo
"2,4-D",2014,33,005,81.3,70.4,Boalemo,Gorontalo
"2,4-D",2014,33,007,102.8,89.8,Bone Bolango,Gorontalo
"2,4-D",2014,33,015,150.2,147.4,Gorontalo Utara,Gorontalo
"2,4-D",2014,34,001,105.4,105.4,Mamasa,Sulawesi Barat
"2,4-D",2014,34,003,6.6,6.6,Mamuju,Sulawesi Barat
"2,4-D",2014,34,005,786.8,786.8,Pasangkayu,Sulawesi Barat
"2,4-D",2014,34,009,37.1,37.1,Majene,Sulawesi Barat
"2,4-D",2014,34,013,0.3,0.3,Polewali Mandar,Sulawesi Barat
"2,4-D",2014,35,001,37.1,89.0,Ambon,Maluku
"2,4-D",2014,35,005,1093.7,1470.0,Tual,Maluku
"2,4-D",2014,35,009,41607.6,41848.4,Seram Bagian Barat,Maluku
"2,4-D",2014,35,013,651.1,1352.0,Maluku Utara,Maluku
"2,4-D",2014,35,015,294.7,455.8,Maluku Tenggara,Maluku
"2,4-D",2014,35,017,185.2,184.7,Seram Bagian Timur,Maluku
"2,4-D",2014,35,019,240.8,240.8,Bacan,Maluku
"2,4-D",2014,35,035,280.7,311.9,Buru,Maluku
"2,4-D",2014,35,061,3124.8,3300.8,Maluku Tengah,Maluku
"2,4-D",2014,36,001,3.8,94.5,Morotai,Maluku Utara
"2,4-D",2014,36,003,22.2,417.7,Halmahera Timur,Maluku Utara
"2,4-D",2014,36,007,12.0,153.4,Tidore,Maluku Utara
"2,4-D",2014,36,013,96.4,818.6,Halmahera Barat,Maluku Utara
"2,4-D",2014,36,017,20.7,244.4,Ternate,Maluku Utara
"2,4-D",2014,36,021,73.4,183.6,Kepulauan Sula,Maluku Utara
"2,4-D",2014,36,027,48.4,249.5,Halmahera Selatan,Maluku Utara
"2,4-D",2014,36,049,57.0,234.5,Halmahera Tengah,Maluku Utara
"2,4-D",2014,37,001,1296.1,2218.6,Asmat,Papua
"2,4-D",2014,37,005,2109.3,2170.7,Pegunungan Bintang,Papua
"2,4-D",2014,37,007,3285.1,3399.0,Jayapura,Papua
"2,4-D",2014,37,011,314.1,315.1,Sarmi,Papua
"2,4-D",2014,37,015,10555.4,10774.1,Yahukimo,Papua
"2,4-D",2014,37,017,500.3,755.8,Paniai,Papua
"2,4-D",2014,37,021,1500.1,1796.8,Mimika,Papua
"2,4-D",2014,37,023,457.0,649.0,Merauke,Papua
"2,4-D",2014,37,025,3818.6,3825.6,Waropen,Papua
"2,4-D",2014,37,027,626.2,699.3,Keerom,Papua
"2,4-D",2014,37,041,4737.5,4856.6,Nabire,Papua
"2,4-D",2014,37,045,7862.0,8007.5,Tolikara,Papua
"2,4-D",2014,37,049,8042.9,8082.0,Supiori,Papua
"2,4-D",2014,37,061,1311.0,1744.3,Puncak Jaya,Papua
"2,4-D",2014,37,071,2321.1,2321.2,Biak Numfor,Papua
"2,4-D",2014,38,001,30350.9,30540.3,Teluk Bintuni,Papua Barat
"2,4-D",2014,38,005,4314.3,6551.1,Fakfak,Papua Barat
"2,4-D",2014,38,007,5957.1,6056.2,Manokwari,Papua Barat
"2,4-D",2014,38,009,9462.6,11051.3,Teluk Wondama,Papua Barat
"2,4-D",2014,38,013,7663.3,7827.6,Maybrat,Papua Barat
"2,4-D",2014,38,015,3327.5,4835.9,Raja Ampat,Papua Barat
"2,4-D",2014,38,023,7475.7,7883.4,Kaimana,Papua Barat
"2,4-D",2014,38,031,4450.0,4652.7,Sorong,Papua Barat
"2,4-D",2014,38,035,4412.8,11041.3,Tambrauw,Papua Barat
"2,4-D",2014,39,003,11898.0,11903.5,Boven Digoel,Papua Selatan
"2,4-D",2014,39,025,9254.1,9389.2,Mappi,Papua Selatan
"2,4-D",2014,40,001,25218.9,25258.6,Intan Jaya,Papua Tengah
"2,4-D",2014,41,001,1892.9,2048.1,Jayawijaya,Papua Pegunungan
"2,4-D",2014,41,005,2228.4,2486.9,Nduga,Papua Pegunungan
"2,4-D",2014,41,011,8.0,12.3,Lanny Jaya,Papua Pegunungan
"2,4-D",2014,41,029,177.3,998.3,Mamberamo Raya,Papua Pegunungan
"2,4-DB",2014,01,001,82.8,264.3,Gayo Lues,Aceh
"2,4-DB",2014,01,003,5298.2,5446.2,Aceh Singkil,Aceh
"2,4-DB",2014,01,005,579.4,579.4,Aceh Besar,Aceh
"2,4-DB",2014,01,007,,71.7,Bireuen,Aceh
"2,4-DB",2014,01,011,218.7,458.1,Aceh Barat,Aceh
"2,4-DB",2014,01,017,,271.0,Aceh Selatan,Aceh
"2,4-DB",2014,01,021,,202.2,Lhokseumawe,Aceh
"2,4-DB",2014,01,023,,80.1,Pidie Jaya,Aceh
"2,4-DB",2014,01,025,,66.0,Subulussalam,Aceh
"2,4-DB",2014,01,041,419.5,419.5,Aceh Jaya,Aceh
"2,4-DB",2014,01,065,,412.1,Simeulue,Aceh
"2,4-DB",2014,01,067,2252.1,2252.1,Pidie,Aceh
"2,4-DB",2014,01,097,1586.8,1728.9,Langsa,Aceh
"2,4-DB",2014,01,101,,655.5,Bener Meriah,Aceh
"2,4-DB",2014,04,001,,5.7,Pesisir Selatan,Sumatera Barat
"2,4-DB",2014,04,005,,1.4,Agam,Sumatera Barat
"2,4-DB",2014,04,007,,1.3,Pasaman,Sumatera Barat
"2,4-DB",2014,04,015,,52.9,Lima Puluh Koto,Sumatera Barat
"2,4-DB",2014,04,025,,5.7,Pasaman Barat,Sumatera Barat
"2,4-DB",2014,05,009,41.0,41.0,Indragiri Hilir,Riau
"2,4-DB",2014,05,015,17.7,17.7,Siak,Riau
"2,4-DB",2014,06,005,81.0,81.0,Bungo,Jambi
"2,4-DB",2014,06,007,10.6,10.6,Merangin,Jambi
"2,4-DB",2014,06,011,584.3,584.3,Tanjung Jabung Barat,Jambi
"2,4-DB",2014,06,019,419.4,419.4,Batanghari,Jambi
"2,4-DB",2014,06,025,8440.6,8440.6,Kota Sungai Penuh,Jambi
"2,4-DB",2014,06,035,92.9,92.9,Muaro Jambi,Jambi
"2,4-DB",2014,08,001,,454.7,Pagar Alam,Sumatera Selatan
"2,4-DB",2014,08,003,,130.8,Ogan Komering Ulu,Sumatera Selatan
"2,4-DB",2014,08,005,,246.2,Lahat,Sumatera Selatan
"2,4-DB",2014,08,007,,14.2,Ogan Komering Ulu Selatan,Sumatera Selatan
"2,4-DB",2014,08,009,,698.5,Musi Rawas,Sumatera Selatan
"2,4-DB",2014,08,011,,28.8,Muara Enim,Sumatera Selatan
"2,4-DB",2014,08,021,,261.6,Prabumulih,Sumatera Selatan
